run_id,status,package_mode,actual_json,expected_json,actual_prediction_csv,expected_prediction_csv,seed_coverage,final_claim_eligibility,compatibility_alias_for,logical_lane_id,status_reasons
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_1_2_DUALGPU_V21,PASS_IMPORTED_COMPATIBLE_ALIAS,monolithic zip,36,36,36,36,1 2,True,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_1_2_DUALGPU_V22,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_1_2_DUALGPU_V22,compatible_alias_all_gates_passed
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_3_4_DUALGPU_V21,PASS_IMPORTED_COMPATIBLE_ALIAS,split package,36,36,36,36,3 4,True,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_3_4_DUALGPU_V22,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_3_4_DUALGPU_V22,compatible_alias_all_gates_passed
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_5_6_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,36,36,36,36,5 6,True,,,
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_7_8_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,36,36,36,36,7 8,True,,,
RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_SEEDS_9_10_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,36,36,36,36,9 10,True,,,
RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_5_V20,PASS_IMPORTED_COMPATIBLE_ALIAS,monolithic zip,90,90,90,90,1 2 3 4 5,True,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_5_V22,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,compatible_alias_all_gates_passed
RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_6_10_V20,PASS_IMPORTED_COMPATIBLE_ALIAS,monolithic zip,90,90,90,90,6 7 8 9 10,True,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_6_10_V22,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,compatible_alias_all_gates_passed
RB28_ELLIPTIC_LOSS_ROBUSTNESS_SEEDS_1_2_DUALGPU_V22,FAIL_MISSING_SEED,raw output directory,1,1,1,1,1,False,,,missing_or_extra_seed
RB28_ELLIPTIC_LOSS_ROBUSTNESS_SMOKE_2SEED_V20,EXCLUDED_NOT_COMPARABLE,raw output directory,36,36,36,36,1 2,False,,,run_id_does_not_contain_V22
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_SEEDS_1_2_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,16,16,16,16,1 2,True,,,
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_SEEDS_3_4_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,16,16,16,16,3 4,True,,,
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_SEEDS_5_6_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,16,16,16,16,5 6,True,,,
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_SEEDS_7_8_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,16,16,16,16,7 8,True,,,
RB29_DGRAPHFIN_NEGATIVE_CONTROLS_ISOLATED_SEEDS_9_10_DUALGPU_V22,PASS_IMPORTED_SPLIT_PACKAGE,split package,16,16,16,16,9 10,True,,,
RB29_ELLIPTIC_NEGATIVE_CONTROLS_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_IMPORTED_MONOLITHIC,monolithic zip,160,160,160,160,1 2 3 4 5 6 7 8 9 10,True,,,
RB30_ELLIPTIC_EXTRA_ARCH_FULL10_SEEDS_1_10_DUALGPU_V22,PASS_IMPORTED_MONOLITHIC,monolithic zip,40,40,40,40,1 2 3 4 5 6 7 8 9 10,True,,,
RB30_ELLIPTIC_EXTRA_ARCH_SEEDS_1_2_DUALGPU_V22,FAIL_DUPLICATE,raw output directory,1,1,1,1,1,False,,,duplicate_logical_files_or_import_conflict
