baseline_id,category,status,deployable,target_label_access,official_repository,official_commit,licence,protocol_validity,blocker
best_fixed_expert,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
uniform_average,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
validation_weighted_average,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
confidence_selection,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
entropy_selection,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
margin_selection,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
source_logistic_gate,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
source_mlp_gate,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
resource_aware_heuristic,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
cheapest_feasible_expert,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
random_feasible_expert,simple,IMPLEMENTED_INTERNAL,true,SOURCE_VALIDATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,VALID_WHEN_COMMON_ACCESS_CONTRACT_IS_ENFORCED,NONE
contract_oracle_diagnostic,oracle_diagnostic,IMPLEMENTED_INTERNAL,false,TARGET_LABELS_OFFLINE_EVALUATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,DIAGNOSTIC_ONLY,NON_DEPLOYABLE_ORACLE
instance_oracle_diagnostic,oracle_diagnostic,IMPLEMENTED_INTERNAL,false,TARGET_LABELS_OFFLINE_EVALUATION_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,DIAGNOSTIC_ONLY,NON_DEPLOYABLE_CLAIRVOYANT_ORACLE
mowst,graph_moe,OFFICIAL_AVAILABLE_NOT_INSTALLED,true,NO_TARGET_LABELS_DURING_FITTING,https://github.com/facebookresearch/mowst-gnn,2e3569962d2388bfda4535cdd1fc0b6eaec88a28,MIT,DECLARED_PER_ADAPTER,TASK_BRIDGE_AND_PARITY_PENDING
graphmetro,graph_ood,UNAVAILABLE_LICENSE,true,NO_TARGET_LABELS_DURING_FITTING,https://github.com/Wuyxin/GraphMETRO,e2b6ab62c6d7a3d72b6508db9bfce49336a9b129,NO_LICENCE_FILE_FOUND_AT_LOCAL_AUDIT,DECLARED_PER_ADAPTER,WRITTEN_PERMISSION_OR_LICENSED_REVISION_REQUIRED
ciga,graph_ood,OFFICIAL_AVAILABLE_NOT_INSTALLED,true,NO_TARGET_LABELS_DURING_FITTING,https://github.com/LFhase/CIGA,454801108737ff8855ac2be947201dd9338dff37,MIT,DECLARED_PER_ADAPTER,GRAPH_CLASSIFICATION_ONLY_AT_PIN
eerm,graph_ood,UNAVAILABLE_LICENSE,true,NO_TARGET_LABELS_DURING_FITTING,https://github.com/qitianwu/GraphOOD-EERM,ffdc4a11161976fac7dd71e2aa1dcd72db6e44e9,NO_LICENCE_FILE_FOUND_AT_LOCAL_AUDIT,DECLARED_PER_ADAPTER,WRITTEN_PERMISSION_OR_LICENSED_REVISION_REQUIRED
groupdro,robust,IMPLEMENTED_INTERNAL,true,NO_TARGET_LABELS_DURING_FITTING,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,DECLARED_PER_ADAPTER,INTERNAL_SOURCE_ENVIRONMENT_OBJECTIVE
vrex,robust,IMPLEMENTED_INTERNAL,true,NO_TARGET_LABELS_DURING_FITTING,NOT_APPLICABLE,NOT_APPLICABLE,REPOSITORY_LICENSE,DECLARED_PER_ADAPTER,INTERNAL_SOURCE_ENVIRONMENT_OBJECTIVE
good,benchmark,OFFICIAL_AVAILABLE_NOT_INSTALLED,true,NO_TARGET_LABELS_DURING_FITTING,https://github.com/divelab/GOOD,b53566c9297bc65b90a7f2213fb9ffa930f5b6e5,GPL-3.0,DECLARED_PER_ADAPTER,OFFICIAL_CHECKOUT_AND_ADAPTER_PARITY_PENDING
