path,size_bytes,tracked,reproducibility,authority,referenced_by_code,referenced_by_reports,safe_to_delete,backup_location,decision
.venv,167004821,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,NOT_REQUIRED,RETAIN_VALIDATED_OFFLINE_RUNTIME_THROUGH_CI
.pytest_cache,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
.mypy_cache,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
.ruff_cache,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
.coverage,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
**/__pycache__,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
**/*.pyc,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
**/.DS_Store,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
tmp,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
paper_iclr/build,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
paper_iclr LaTeX intermediates,PRE_CLEANUP_INCLUDED_IN_AGGREGATE,false,REPRODUCIBLE,NON_AUTHORITATIVE,false,false,true,MACOS_TRASH_RECOVERABLE,REMOVED_TO_TRASH_AFTER_VALIDATION
../gnn-fraud-old,NOT_SCANNED_READ_ONLY_ARCHIVE,outside_active_repo,UNKNOWN_MIXED,HISTORICAL_ONLY,false,historical_provenance_only,false,USER_MANAGED_BACKUP_REQUIRES_VERIFICATION,RETAIN_PENDING_USER_ARCHIVE_DECISION
