scenario_id,dataset,target_protocol_id,source_protocol_ids,expert_prediction_seed,fold,access_regime,binding_count,source_binding_count,target_binding_count,status,contract_binding_status,reason_codes,leakage_status
scenario-0234a7202fed52f7dba3db45,elliptic,strict_inductive,isolated_inductive;transductive_structure,1,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-cc539dcaf41c71bdfc9dc73b,elliptic,strict_inductive,isolated_inductive;transductive_structure,2,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-350758023f31831bb84d7d1e,elliptic,strict_inductive,isolated_inductive;transductive_structure,3,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-c949682b1a540d55687d540f,elliptic,strict_inductive,isolated_inductive;transductive_structure,4,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-9d6ecf1320d8b0797fa63772,elliptic,strict_inductive,isolated_inductive;transductive_structure,5,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-c51365541cd41cf288508464,elliptic,strict_inductive,isolated_inductive;transductive_structure,6,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-b3d034413de438245eea70c5,elliptic,strict_inductive,isolated_inductive;transductive_structure,7,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-ad31926c0a7dfcf08b4bbef8,elliptic,strict_inductive,isolated_inductive;transductive_structure,8,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-947e815f03f380574a0890d7,elliptic,strict_inductive,isolated_inductive;transductive_structure,9,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
scenario-fa5f47c1f82b36e961e0d1e8,elliptic,strict_inductive,isolated_inductive;transductive_structure,10,fold0,DG_NO_TARGET,9,6,3,BLOCKED_BASE_ARTIFACT,BLOCKED_UNRESOLVED_CANONICAL_BASE_ARTIFACT,ONE_OR_MORE_BASE_ARTIFACTS_BLOCKED,PASS_SCENARIO_STRUCTURE
