binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-9e7f3c4058716955739f4c5c,scenario-0234a7202fed52f7dba3db45,7dcfe709dd044b65932327804556541b6dc1a6cab2d68ebb2cd6842d66dccec8,strict_inductive,feature_mlp,1,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-8eb98a76c05c0bd20f11670c,scenario-0234a7202fed52f7dba3db45,7dbd3718c9680798ae3a179ef39b2b9fd59423fa1af71f26515894ba4562e649,strict_inductive,gcn,1,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-f44a39bed5fa6fe2f7fc3797,scenario-0234a7202fed52f7dba3db45,2cefd1a6a18dcf9d93c43ac5d1cf8d5028037e704def3d280db2fae03d2d66c5,strict_inductive,graphsage,1,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-2823906b598d03e3c8e397af,scenario-0234a7202fed52f7dba3db45,16e17eec69eaa232e7f5439ec0cba60d3d2365b1ab4d0580e54b697b1fabfe18,isolated_inductive,feature_mlp,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-ab43a6e44ef6fc8375ac236d,scenario-0234a7202fed52f7dba3db45,ee029153ccd0bc11672eea2f662e6e9a107791bb66a92b8b669d0f379be8f1ce,isolated_inductive,gcn,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-946e980b1573681a0a95d9c2,scenario-0234a7202fed52f7dba3db45,0aef2b2e82ceb2d0c5eebe81d8ce5e60981051072d72a511f65518d4ffaeab3f,isolated_inductive,graphsage,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-d983297c7eae8920c29ce949,scenario-0234a7202fed52f7dba3db45,2087e7f0bd0480bcd4eee435ba6bae9b728c55de5734579733c7754b56e78b53,transductive_structure,feature_mlp,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-2a4a204634a759bf244416c7,scenario-0234a7202fed52f7dba3db45,38c595e72c208dcc367145c5383f5c68dfa25312e94e24b07d1baa9edb139bbc,transductive_structure,gcn,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-bcaa250d235dbef969b279f0,scenario-0234a7202fed52f7dba3db45,7b8c61c7fa23e685f90b267f7ea37187f20f420a5f33fccfeec062198ef06156,transductive_structure,graphsage,1,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-277e16981fff3e5df8326df9,scenario-cc539dcaf41c71bdfc9dc73b,ea69dac0012c9481a31ef6f8dc512df9990143fc83e3d5f00ff0053a5cafd0fb,strict_inductive,feature_mlp,2,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-c9f24f9fc6c11e380ea51baa,scenario-cc539dcaf41c71bdfc9dc73b,e02570a0d493d604704523c99c7e7d4a4b5b9802c2773b69b94bb5580a1c3e70,strict_inductive,gcn,2,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-fc18e35cb69606c8618aba90,scenario-cc539dcaf41c71bdfc9dc73b,649948f85d2a72ae2834e5741070085a3d8890c58ae236bb61ad357b74777c5d,strict_inductive,graphsage,2,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-0486ffb39654f7f2b22b6131,scenario-cc539dcaf41c71bdfc9dc73b,836c12477430d8fedb66454cf5f84257bb28b5705df62ea245e6c45005070268,isolated_inductive,feature_mlp,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-d93ee795c1eb41388bdd4e61,scenario-cc539dcaf41c71bdfc9dc73b,f8d4c65af1571a7197340c48c7a7b68abb14f322552a436dd4c57819a1e018fc,isolated_inductive,gcn,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-55c552dd0ec38fde5320ff5b,scenario-cc539dcaf41c71bdfc9dc73b,7942161b606b38cad5c6684f3412d7169bef94000311037aad02c2c6ba3f0175,isolated_inductive,graphsage,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-8b99357b2b812f60f445f182,scenario-cc539dcaf41c71bdfc9dc73b,8aec4dba6e3bd27c5f77ae2e0580c5622c35e540946a6804f3c852e55dac8bbc,transductive_structure,feature_mlp,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-24dc7068fb4a5d44efcec5ac,scenario-cc539dcaf41c71bdfc9dc73b,ebf7b76ccb77a8d91fe3627a897cdc094a3fe2137bc534354a520cec601ba855,transductive_structure,gcn,2,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
