dataset,protocol,split_name,model,seed,early_stopping_metric,early_stopping_split,scaler_mode,graph_mode,train_nodes,val_nodes,test_nodes,positives_train,positives_val,positives_test,f1,precision,recall,auroc,auprc,precision_at_100,recall_at_100,precision_at_500,recall_at_500,precision_at_1000,recall_at_1000,precision_at_1pct,recall_at_1pct,runtime_seconds,command,git_commit,artifact_created_at_utc
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,1,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0,0.0,0.0,0.6037,0.0138,0.0,0.0,0.006,0.0016,0.007,0.0038,0.01,0.0091,108.701,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 1,3,5,7,9 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:19:30.897100+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,2,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0023,0.0016,0.0038,0.5382,0.011,0.0,0.0,0.002,0.0005,0.003,0.0016,0.0018,0.0016,106.717,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 2,4,6,8,10 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:18:59.512055+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,3,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.008,0.0045,0.0349,0.3763,0.0081,0.0,0.0,0.002,0.0005,0.002,0.0011,0.0035,0.0032,108.637,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 1,3,5,7,9 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:22:54.374001+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,4,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0237,0.0123,0.3065,0.652,0.0161,0.02,0.0011,0.008,0.0021,0.018,0.0097,0.0159,0.0145,107.42,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 2,4,6,8,10 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:22:21.138804+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,5,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0,0.0,0.0,0.3766,0.0083,0.0,0.0,0.002,0.0005,0.001,0.0005,0.0006,0.0005,108.609,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 1,3,5,7,9 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:26:15.092059+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,6,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0217,0.011,0.8508,0.4164,0.0087,0.0,0.0,0.002,0.0005,0.001,0.0005,0.0006,0.0005,107.306,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 2,4,6,8,10 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:25:41.691754+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,7,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0368,0.019,0.5786,0.6817,0.0181,0.0,0.0,0.026,0.007,0.029,0.0156,0.0217,0.0199,108.449,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 1,3,5,7,9 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:29:35.231298+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,8,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.022,0.0112,0.6291,0.5181,0.0109,0.0,0.0,0.002,0.0005,0.001,0.0005,0.0006,0.0005,107.236,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 2,4,6,8,10 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:29:01.809995+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,9,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0392,0.0203,0.5996,0.57,0.013,0.0,0.0,0.002,0.0005,0.001,0.0005,0.0018,0.0016,108.455,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 1,3,5,7,9 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:32:55.027886+00:00
dgraphfin,inductive_isolated,t1-14_val15-16_test17-20,gcn,10,val_f1,validation,train_only,inductive_isolated_eval,947462,107932,170207,12543,1103,1863,0.0163,0.0084,0.2399,0.4761,0.0103,0.02,0.0011,0.012,0.0032,0.009,0.0048,0.0117,0.0107,107.209,"/kaggle/working/gnn-fraud/scripts/run_multi_dataset_protocol_benchmark.py --datasets dgraphfin --models mlp,gcn,graphsage --protocols strict_inductive,inductive_isolated,transductive --gnn-only --skip-missing-datasets --hidden-channels 64 --num-layers 2 --early-stopping-metric val_f1 --scaler-mode train_only --output-dir results/runs/multi_dataset_protocol --seeds 2,4,6,8,10 --device cuda --execute --prediction-dir results/runs/predictions --export-predictions",tree-6fa0cc19d70e7c207c9af5b868d89b1b98ed0ed7,2026-06-21T05:32:19.289888+00:00
