dataset,method,n,n_context_rows,ece_mean,ece_std,brier_mean,brier_std,source
dgraphfin,best_val_branch,10,60,0.2844342298079475,0.020934174312894207,0.0963206995854219,0.011597719544582804,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
dgraphfin,feature_only,10,60,0.2807633643439184,0.028772517280817277,0.09355934722223684,0.015456420612261728,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
dgraphfin,graph_only,10,60,0.2844342298079475,0.020934174312894207,0.0963206995854219,0.011597719544582804,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
dgraphfin,graphsafe_conservative,10,60,0.2750741440463592,0.020324870225671293,0.09093901071248067,0.01054344565295823,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
dgraphfin,simple_average,10,60,0.282598797075933,0.022344561900548898,0.09294992691402412,0.012413299673111207,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
elliptic,best_val_branch,10,60,0.08760078513113373,0.013918864214658867,0.07341251858925132,0.008074761648284875,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
elliptic,feature_only,10,60,0.13073866273309334,0.006432338793521522,0.09912018659168016,0.0044106397479727315,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
elliptic,graph_only,10,60,0.07297817763108375,0.007788904165051185,0.06515470716586377,0.005804599428580616,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
elliptic,graphsafe_conservative,10,60,0.09820199668373322,0.01727102035135294,0.07898508741942922,0.008482944474971561,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
elliptic,simple_average,10,60,0.09630980921262243,0.0038143619504247776,0.07058646806866842,0.002553231635613841,results/runs_rb16_graphsafe_best_branch_strengthening/rb16_results.csv
