version,variant,size,regime,protocol,config,seed,f1,precision,recall,balanced_accuracy,auroc,auprc,runtime_seconds,positive_rate,positive_count,test_count,actual_backend,source_path
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,1,0.010860033834161682,0.005471075882047966,0.7235456280483494,0.7644085694799023,0.8537347323188831,0.012938980586873235,201.544,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,2,0.021150818974686236,0.010736966458723204,0.7028345232204708,0.8034801166151673,0.8970162442491508,0.029107604388297993,197.563,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed2.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,1,0.1530530952715685,0.22705784204671858,0.11543083339223864,0.5574245317706982,0.9201130935450726,0.10462861365196546,41.878,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed1.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,2,0.1378916837050069,0.2106333527019175,0.10249522867038949,0.5509632702652651,0.9033790924543487,0.09387339679659865,41.4,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed2.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,1,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,51.863,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed1.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,2,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,51.709,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed2.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,1,0.020546899443088667,0.010412121642601293,0.771377560608908,0.8244391127739163,0.9176422087035068,0.039495508611475154,237.347,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed1.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,2,0.026170282632418645,0.013320232572273657,0.7414019921067468,0.8248192681981947,0.9153763954437028,0.04326406213878653,233.347,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed2.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,1,0.00168649864143165,0.2903225806451613,0.0008457056944183425,0.5004211257331195,0.9386148858316096,0.1831619687332594,99.318,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed1.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,2,0.0007477334330311244,0.07017543859649122,0.0003758691975192633,0.5001837738239071,0.9414288631969823,0.1774975597029318,112.473,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed2.json
