dataset,protocol,model,seed,control_mode,stress_config,stress_family,config_id,hidden_channels,num_layers,run_id,package_path,member,member_size,member_crc,member_sha256,f1,auprc,auroc,recall_at_1pct,precision_at_1pct,recall,precision,runtime_seconds,deduplication_note
dgraphfin,inductive_isolated,gcn,1,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24__seed_1.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed1.json,4189,1169627797,b34317b9b2de7ac91e2212563d7eae7879f07ecf617b9919663cdd25c8eff0f5,0.0,0.0138,0.6037,0.0091,0.01,0.0,0.0,109.037,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,2,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_1_2_DUALGPU_V24__seed_2.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed2.json,4199,2316554886,06580f8dfd6b0a7f003e8a9f3a237f7c40b4a846c8d013297075a35190653e81,0.0023,0.011,0.5382,0.0016,0.0018,0.0038,0.0016,107.059,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,3,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24__seed_3.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed3.json,4199,4074985283,4430b55426e47e80a801b613e6e91141624222cba9adf78d0f4485159d204171,0.008,0.0081,0.3763,0.0032,0.0035,0.0349,0.0045,111.796,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,4,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_3_4_DUALGPU_V24__seed_4.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed4.json,4203,3215146200,e2a0e0334232554f53605e609e6cd5840692d91172e01ab467bffa350a6f8aa9,0.0237,0.0161,0.652,0.0145,0.0159,0.3065,0.0123,108.581,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,5,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24__seed_5.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed5.json,4191,1454234365,a19eb29daa5ea3ef26c9a72be7fec957d1e2f1e4fd9a23a1068494fd80eaa3f4,0.0,0.0083,0.3766,0.0005,0.0006,0.0,0.0,104.965,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,6,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_5_6_DUALGPU_V24__seed_6.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed6.json,4199,4147861736,64848c06420ed22979753c8269458defbb0057aaac226b669f7fd4bac4a7e3f3,0.0217,0.0087,0.4164,0.0005,0.0006,0.8508,0.011,105.427,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,7,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24__seed_7.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed7.json,4198,3787821225,316704b2233c1b2673520a5ab364a9eedc221f030b2a0b7b525c1b06ed252963,0.0368,0.0181,0.6817,0.0199,0.0217,0.5786,0.019,109.457,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,8,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_7_8_DUALGPU_V24__seed_8.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed8.json,4198,2062278886,9525e7aa36169669d0f1eb4dce3925441d65b89ac51a7ae7aaf9076aa57ae8e0,0.022,0.0109,0.5181,0.0005,0.0006,0.6291,0.0112,108.32,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,9,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24__seed_9.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed9.json,4201,4212861020,10c79291c9d24c9c688747588e0b77a405add1f6bc739a70c6d6b3854240e8e5,0.0392,0.013,0.57,0.0016,0.0018,0.5996,0.0203,108.07,one of three metric-identical label copies retained; stress labels were not passed to harness
dgraphfin,inductive_isolated,gcn,10,none,deduplicated_v24_rerun_contract,RB41,RB41__early_to_late_transfer__inductive_isolated__gcn__none,64,2,RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24,kaggleoutputs/v24/rb41_dgraphfin_full10_chunks/DOWNLOAD_ME_RB41_DGRAPHFIN_TEMPORAL_SHIFT_STRESS_SEEDS_9_10_DUALGPU_V24__seed_10.zip,json/RB41__early_to_late_transfer__inductive_isolated__gcn__none/dgraphfin__inductive_isolated__gcn__seed10.json,4216,2174549360,9c7643e136c4ebce71b3e88186753950f677c5e0bdd18e960b2bd54671d9dc11,0.0163,0.0103,0.4761,0.0107,0.0117,0.2399,0.0084,108.581,one of three metric-identical label copies retained; stress labels were not passed to harness
