family,variant,protocol,n_configurations,auprc_winner,auroc_winner,f1_winner,auprc_f1_winner_disagree,auroc_auprc_winner_disagree,spearman_auprc_vs_f1,spearman_auprc_vs_f1_p,spearman_auroc_vs_auprc,spearman_auroc_vs_auprc_p,context,config,auprc,auroc,f1,auprc_rank,auroc_rank,f1_rank,label
baseline_grid,hi-medium,early_to_late_transfer,3.0,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,-0.5,0.6666666666666667,Baseline · hi-medium · Early,,,,,,,,
baseline_grid,hi-medium,late_window_holdout,3.0,hist_gradient_boosting_edge_features,hist_gradient_boosting_edge_features,logistic_regression_edge_features,True,False,-1.0,0.0,0.5,0.6666666666666667,Baseline · hi-medium · Late,,,,,,,,
baseline_grid,hi-small,early_to_late_transfer,3.0,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667,Baseline · hi-small · Early,,,,,,,,
baseline_grid,hi-small,late_window_holdout,3.0,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667,Baseline · hi-small · Late,,,,,,,,
baseline_grid,li-medium,early_to_late_transfer,3.0,hist_gradient_boosting_edge_features,graphsage_edge_minibatch_h32,graphsage_edge_minibatch_h32,True,True,-0.5,0.6666666666666667,0.5,0.6666666666666667,Baseline · li-medium · Early,,,,,,,,
baseline_grid,li-medium,late_window_holdout,3.0,hist_gradient_boosting_edge_features,graphsage_edge_minibatch_h32,graphsage_edge_minibatch_h32,True,True,-0.5,0.6666666666666667,0.5,0.6666666666666667,Baseline · li-medium · Late,,,,,,,,
baseline_grid,li-small,early_to_late_transfer,3.0,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667,Baseline · li-small · Early,,,,,,,,
baseline_grid,li-small,late_window_holdout,3.0,hist_gradient_boosting_edge_features,logistic_regression_edge_features,hist_gradient_boosting_edge_features,False,True,1.0,0.0,0.5,0.6666666666666667,Baseline · li-small · Late,,,,,,,,
graph_grid,hi-medium,early_to_late_transfer,6.0,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.4857142857142857,0.3287230320699709,-0.0857142857142857,0.8717434402332361,Graph · hi-medium · Early,,,,,,,,
graph_grid,hi-medium,late_window_holdout,6.0,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.7714285714285715,0.0723965014577259,-0.2571428571428572,0.6227871720116618,Graph · hi-medium · Late,,,,,,,,
graph_grid,hi-small,early_to_late_transfer,7.0,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.8571428571428573,0.0136973266153256,0.7857142857142859,0.0362384626798271,Graph · hi-small · Early,,,,,,,,
graph_grid,hi-small,late_window_holdout,7.0,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.7857142857142859,0.0362384626798271,0.6785714285714287,0.0937502539598313,Graph · hi-small · Late,,,,,,,,
graph_grid,li-medium,early_to_late_transfer,6.0,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.0857142857142857,0.8717434402332361,0.5428571428571429,0.2657026239067055,Graph · li-medium · Early,,,,,,,,
graph_grid,li-medium,late_window_holdout,6.0,edge_aware_graphsage_h64,recent_window_only_graph,degree_capped_bipartite,True,True,-0.0285714285714285,0.9571545189504372,0.0857142857142857,0.8717434402332361,Graph · li-medium · Late,,,,,,,,
graph_grid,li-small,early_to_late_transfer,7.0,gine_light_h64,degree_capped_bipartite,degree_capped_bipartite,True,True,0.6071428571428572,0.1482311614811614,0.7857142857142859,0.0362384626798271,Graph · li-small · Early,,,,,,,,
graph_grid,li-small,late_window_holdout,7.0,gine_light_h64,edge_aware_graphsage_h64,degree_capped_bipartite,True,True,0.5714285714285715,0.1802019889115274,0.7142857142857144,0.0713435614675376,Graph · li-small · Late,,,,,,,,
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,edge_aware_graphsage_h64,0.0499825078302734,0.921189740755193,0.0126840247665008,1.0,2.0,6.0,Ref
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,edge_aware_graphsage_h64_degree_only,0.0326194395106207,0.8042081175368665,0.0180915743702357,2.0,6.0,3.0,Degree
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,edge_aware_graphsage_h64_no_edge_features,0.0298891656152444,0.8101852321028081,0.0147903705308606,3.0,4.0,4.0,NoEdge
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,edge_aware_graphsage_h64_shuffled_edge_features,0.0297003823532502,0.8060223849081861,0.0135156104219311,4.0,5.0,5.0,Shuffle
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,recent_window_only_graph,0.0289492282206032,0.9332876930584532,0.021238093421004,5.0,1.0,2.0,Recent
graph_grid,hi-medium,late_window_holdout,,,,,,,,,,,,degree_capped_bipartite,0.0127403006538809,0.8803473803758077,0.0221475363163674,6.0,3.0,1.0,DegreeCap
