dataset,method,budget_pct,n,n_context_rows,precision_mean,precision_std,recall_mean,recall_std,source
dgraphfin,best_val_branch,0.5,10,60,0.0142410015649451,0.0057461294869861,0.0065127929862228,0.0026278595399421,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,best_val_branch,1.0,10,60,0.0150420825993344,0.0057662949953958,0.0137502236536052,0.0052710683720661,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,best_val_branch,2.0,10,60,0.0159128732256485,0.00535481212402,0.029083914832707,0.0097869754601654,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,feature_only,0.5,10,60,0.014319248826291,0.0102888454294688,0.0065485775630702,0.004705365703654,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,feature_only,1.0,10,60,0.0160696809551771,0.0124277880658009,0.0146895687958489,0.0113604525368003,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,feature_only,2.0,10,60,0.0144591287322564,0.0121438392706225,0.0264269100017891,0.0221952617909123,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,graphsafe_conservative,0.5,10,60,0.0209898278560249,0.0055321868248763,0.0095992127393093,0.0025300178071898,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,graphsafe_conservative,1.0,10,60,0.0228811900567625,0.00618064010254,0.0209160851672928,0.0056498282848232,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,graphsafe_conservative,2.0,10,60,0.0220998531571218,0.0061475676476045,0.0403918411164787,0.0112358925604365,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,simple_average,0.5,10,60,0.0148474178403755,0.0077314966322358,0.00679012345679,0.0035358213261755,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,simple_average,1.0,10,60,0.0156390683108239,0.0077702146837232,0.0142959384505277,0.0071028854569944,results/runs_rb17_review_budget_worst_block/rb17_results.csv
dgraphfin,simple_average,2.0,10,60,0.0155115026921193,0.0075808427586629,0.0283503310073357,0.0138554855572986,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,best_val_branch,0.5,10,60,0.8291666666666668,0.0451623216693281,0.0643120960295474,0.0035028947555157,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,best_val_branch,1.0,10,60,0.7785429141716567,0.0482252721989902,0.1200523237919359,0.0074363993141564,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,best_val_branch,2.0,10,60,0.692065868263473,0.0471429698372367,0.2134349030470913,0.0145390137817516,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,feature_only,0.5,10,60,0.6746031746031746,0.0525783251702428,0.0523237919359802,0.0040780972431213,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,feature_only,1.0,10,60,0.6481037924151696,0.0635251295935092,0.0999384425977223,0.0097956571026002,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,feature_only,2.0,10,60,0.5822355289421158,0.0623807050175768,0.1795629424438288,0.0192383707071751,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,graphsafe_conservative,0.5,10,60,0.8154761904761905,0.041228696760605,0.0632502308402584,0.0031977936545621,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,graphsafe_conservative,1.0,10,60,0.7623752495009979,0.0431711554335829,0.1175592489996922,0.0066570479754463,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,graphsafe_conservative,2.0,10,60,0.6765469061876248,0.0429153321107547,0.2086488150200061,0.0132351993767239,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,simple_average,0.5,10,60,0.8601190476190477,0.0638921066811568,0.0667128347183748,0.0049556204628044,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,simple_average,1.0,10,60,0.8276447105788423,0.0555905045827246,0.1276238842720836,0.0085721276688042,results/runs_rb17_review_budget_worst_block/rb17_results.csv
elliptic,simple_average,2.0,10,60,0.7680139720558883,0.0447901663985145,0.2368574946137273,0.013813403118286,results/runs_rb17_review_budget_worst_block/rb17_results.csv
