variant,size,regime,protocol,config,status,n,auprc_mean,auprc_std,normalized_auprc_mean,auroc_mean,f1_mean,runtime_seconds_mean,runtime_seconds_min,runtime_seconds_max,source_paths,pareto_auprc_runtime_within_cell,config_label,runtime_interval_low,runtime_interval_high,auprc_sd_low,auprc_sd_high,protocol_label
hi-medium,medium,hi,early_to_late_transfer,degree_capped_bipartite,MEASURED_FULL10,10,0.0118623146222958,0.0119475540235706,8.02403955843998,0.8758815555137908,0.0195116761162018,216.7949,205.426,243.227,results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed9_early_to_late_transfer.json,False,Degree cap,205.426,243.227,0.0,0.0238098686458664,early-to-late
hi-medium,medium,hi,early_to_late_transfer,edge_aware_graphsage_h64,MEASURED_FULL10,10,0.0424178391918162,0.008586688204145,28.692749307032425,0.9169858698766646,0.0110212608503715,249.72859999999997,236.309,260.93,results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed10_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed1_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed2_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed3_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed4_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed5_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed6_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed7_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed8_early_to_late_transfer.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed9_early_to_late_transfer.json,True,Ref,236.309,260.93,0.0338311509876712,0.0510045273959612,early-to-late
hi-medium,medium,hi,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,MEASURED_FULL10,10,0.0252446603040201,0.0040950214568154,17.07627553041862,0.8039721471699804,0.0102165970473508,238.95959999999997,228.177,247.127,results/v28_imported/imported_json/V28_hi-medium_degree_only_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed9_early_to_late_transfer.json,True,Degree,228.177,247.127,0.0211496388472047,0.029339681760835498,early-to-late
hi-medium,medium,hi,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,MEASURED_FULL10,10,0.0244674592799798,0.0036915788323023,16.550552519326175,0.8019835844180706,0.0094205322214938,248.12610000000004,230.491,265.821,results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed9_early_to_late_transfer.json,False,No edge,230.491,265.821,0.0207758804476775,0.0281590381122821,early-to-late
hi-medium,medium,hi,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,MEASURED_FULL10,10,0.0238760056806751,0.0038094027291336,16.15047485919713,0.7943087727392131,0.0096779006714665,255.573,235.335,291.844,results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_shuffled_edge_features_seed9_early_to_late_transfer.json,False,Shuffle,235.335,291.844,0.020066602951541498,0.0276854084098087,early-to-late
hi-medium,medium,hi,early_to_late_transfer,recent_window_only_graph,MEASURED_FULL10,10,0.0186629564257885,0.0032420802255367,12.624205764741918,0.93387614933042,0.0191271707638221,128.15,119.19,137.228,results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed10_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed1_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed2_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed3_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed4_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed5_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed6_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed7_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed8_early_to_late_transfer.json;results/v28_imported/imported_json/V28_hi-medium_recent_window_only_graph_seed9_early_to_late_transfer.json,True,Recent,119.19,137.228,0.0154208762002518,0.021905036651325198,early-to-late
hi-medium,medium,hi,late_window_holdout,degree_capped_bipartite,MEASURED_FULL10,10,0.0127403006538809,0.0113800994429648,7.637533695351476,0.8803473803758077,0.0221475363163674,261.8574,246.001,295.985,results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed10_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed1_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed2_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed3_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed4_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed5_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed6_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed7_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed8_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_capped_bipartite_seed9_late_window_holdout.json,False,Degree cap,246.001,295.985,0.0013602012109161007,0.0241204000968457,late holdout
hi-medium,medium,hi,late_window_holdout,edge_aware_graphsage_h64,MEASURED_FULL10,10,0.0499825078302734,0.0084853063568901,29.963428501633963,0.921189740755193,0.0126840247665008,301.1194,281.895,316.054,results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed10_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed1_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed2_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed3_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed4_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed5_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed6_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed7_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed8_late_window_holdout.json;results/v27_imported/imported_json/V27_hi-medium_edge_aware_graphsage_h64_seed9_late_window_holdout.json,True,Ref,281.895,316.054,0.0414972014733833,0.0584678141871635,late holdout
hi-medium,medium,hi,late_window_holdout,edge_aware_graphsage_h64_degree_only,MEASURED_FULL10,10,0.0326194395106207,0.0044511633789972,19.554645934509736,0.8042081175368665,0.0180915743702357,290.36269999999996,275.666,305.356,results/v28_imported/imported_json/V28_hi-medium_degree_only_seed10_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed1_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed2_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed3_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed4_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed5_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed6_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed7_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed8_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_degree_only_seed9_late_window_holdout.json,True,Degree,275.666,305.356,0.0281682761316235,0.0370706028896179,late holdout
hi-medium,medium,hi,late_window_holdout,edge_aware_graphsage_h64_no_edge_features,MEASURED_FULL10,10,0.0298891656152444,0.0056204619410115,17.917905998774938,0.8101852321028081,0.0147903705308606,298.8679,277.108,319.981,results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed10_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed1_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed2_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed3_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed4_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed5_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed6_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed7_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed8_late_window_holdout.json;results/v28_imported/imported_json/V28_hi-medium_no_edge_features_seed9_late_window_holdout.json,False,No edge,277.108,319.981,0.0242687036742329,0.0355096275562559,late holdout
